"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","Site"
"1","233","240","247","254","261","268","275","282","289","296","303","310","315",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_BC1_dep1_2022"
"2","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP7_dep1_2022"
"3","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP9_dep1_2022"
"4","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_10_2019"
"5","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_1_2019"
"6","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020"
"7","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020"
"8","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020"
"9","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020"
"10","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020"
"11","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020"
"12","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020"
"13","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020"
"14","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020"
"15","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020"
"16","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_3_2019"
"17","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_4_2019"
"18","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_5_2019"
"19","242","249","256","263","270","277","284","291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_6_2019"
